linker_molecular_weight,e3_ligand_hydrogen_bond_acceptor_count,kcat,alpha,warhead_xlogp3,hydrogen_bond_acceptor_count,topological_polar_surface_area,linker_topological_polar_surface_area,kdegp,linker_hydrogen_bond_donor_count,linker_hydrogen_bond_acceptor_count,dmax,warhead_molecular_weight,alpha_dmax,e3_ligand_rotatable_bond_count,dc50,warhead_rotatable_bond_count,rotatable_bond_count,linker_xlogp3,alpha_dc50,warhead_hydrogen_bond_acceptor_count,molecular_weight,e3_ligand_xlogp3,e3_ligand_molecular_weight,kdp,e0,xlogp3,warhead_hydrogen_bond_donor_count,kde,warhead_binding_energy,e3_ligand_binding_energy,e3_ligand_hydrogen_bond_donor_count,linker_rotatable_bond_count,e3_ligand_topological_polar_surface_area,hydrogen_bond_donor_count,warhead_topological_polar_surface_area
352.523,7,1,1,1.98,16,208.59,50.26,0.010889207,1,5,0.97,440.866,1,9,8.1,6,24,0.45,1,8,1279.708,2.31,587.718,5673.5746,1,6.91,2,11829.131,5.24614323,4.927047157,4,5,140.73,4,97.86
143.23,5,1,1,4.37,9,174.45,43.09,0.010677966,1,1,0.9,501.553,1,1,100,5,12,2.13,1,6,653.692,0,273.248,53.733,1,4.16,2,135.1697,7.26975878,6.869120755,2,6,109.57,4,93.37
16.043,7,1,1,3.19,14,206.72,0,0.010889207,0,0,0.74,433.501,1,9,70,9,15,0.65,1,8,1017.054,2.31,587.718,16.919,1,6.81,1,9579.8621,7.771625268,5.018640742,4,0,140.73,5,94.53
57.096,4,1,1,2.3,12,144.55,12.03,0.010889207,1,1,0.99,417.42,1,1,0.2,4,5,-0.07,1,9,698.765,-0.5,259.265,225.5437,1,2.81,0,229.4776,6.646769252,6.639259789,2,0,92.5,1,81.43
198.31,7,1,1,1.69,19,263.54,23.55,0.010889207,0,2,0.85,591.71,1,9,12.8,14,30,1.45,1,9,1627.496,2.31,587.718,202.4311,1,11.77,5,3575.6723,6.693722846,5.446642289,4,4,140.73,5,193.5
114.232,5,1,1,1.1,10,174.42,0,0.046510067,0,0,0.95,186.174,1,1,37,0,15,4.55,1,3,757.896,0,273.248,14.6812,1,5.64,2,79.5861,7.833239353,7.099162845,2,5,109.57,4,74.43
225.336,4,1,1,4.3,14,192.43,35.58,0.010889207,1,4,0.9973,420.368,1,1,2.93,4,10,-0.08,1,6,865.996,-0.5,259.265,114.0495,1,3.63,1,323.6332,6.942906797,6.489946942,2,4,92.5,2,88.42
87.122,4,1,1,3.72,13,208.98,29.1,0.008718078,1,1,0.96,316.353,1,5,670,6,15,1.04,1,5,832.988,1.86,413.518,401.7178,1,4.72,1,1199.9308,6.396078947,5.92084381,3,3,98.74,5,57.15
206.245,7,1,1,2.22,13,212.01,50.69,0.010889207,1,3,0.75,320.396,1,9,5.2,3,17,2.64,1,4,1009.22,2.31,587.718,180.8787,1,9.08,2,3029.1302,6.742612669,5.518682059,4,6,140.73,6,72.94
162.229,5,1,1,-5.47,15,204.67,27.69,0.0147165,0,3,0.98,443.202,1,1,0.8,6,19,0.52,1,12,923.449,0,273.248,342.5187,1,4.81,7,615.2355,6.465315659,6.21095861,2,8,109.57,3,252.57
59.068,4,1,1,1.98,11,209.17,29.1,0.010218225,1,1,0.73,586.6,1,5,92,7,13,0.14,1,8,1016.132,1.86,413.518,113.9476,1,5.11,3,792.5457,6.943294916,6.100975706,3,1,98.74,6,136.21
308.375,4,1,1,3.33,16,262.76,101.27,0.010889207,2,7,0.93,532.666,1,1,41.9,7,27,-1.54,1,6,1024.529,0.13,258.233,258.252,1,4.65,2,68.4761,6.587956348,7.164461185,1,18,83.55,6,102.84
100.205,4,1,1,3.74,14,185.77,0,0.010889207,0,0,0.748,409.943,1,5,3.54,6,20,4.01,1,7,1009.339,1.86,413.518,72.6473,1,9.08,3,2944.0524,7.138780305,5.531054468,3,4,98.74,5,96.01
57.096,4,1,1,2.3,12,144.55,12.03,0.021218616,1,1,0.93,417.42,1,1,1,4,5,-0.07,1,9,698.765,0.13,258.233,45.7482,1,2.81,0,274.2052,7.339625809,6.561924347,1,0,83.55,1,81.43
99.133,4,1,1,3.72,13,208.98,29.1,0.010889207,1,1,0.84,316.353,1,5,111,6,13,1.05,1,5,844.999,1.86,413.518,539.8863,1,4.95,1,1899.7402,6.267697732,5.721305791,3,2,98.74,5,57.15
278.389,4,1,1,4.29,17,252.65,57.15,0.010889207,1,5,0.85,372.875,1,1,6,3,24,1,1,3,998.107,0.13,258.233,59.3919,1,4.5,1,262.6815,7.226273077,6.580570447,1,15,83.55,2,44.81
146.23,4,1,1,4.2,13,199.55,18.46,0.010889207,0,2,0.71,492.498,1,5,50,8,20,1.54,1,7,1007.171,1.86,413.518,131.838,1,6.35,1,1365.9851,6.879959349,5.864554029,3,7,98.74,3,95.34
190.239,5,1,1,2.6,15,242.78,44.76,0.010889207,0,4,0.93,487.56,1,1,13,6,20,-0.42,1,7,917.851,0,273.248,74.979,1,2.93,1,232.2763,7.125060292,6.633995068,2,10,109.57,4,96.89
71.123,4,1,1,2.3,12,144.55,12.03,0.021218616,1,1,0.98,417.42,1,1,0.1,4,6,0.36,1,9,712.792,0.13,258.233,24.1898,1,3.03,0,242.0766,7.616367547,6.616047135,1,0,83.55,1,81.43
163.217,4,1,1,2.57,12,200.76,53.71,0.021218616,1,4,0.98,378.439,1,5,8,4,21,-1.16,1,9,1036.693,1.86,413.518,1436.0613,1,6.56,3,3391.3885,5.842827032,5.469622456,3,8,98.74,5,145.99
85.15,4,1,1,2.3,12,144.55,12.03,0.010889207,1,1,0.68,417.42,1,1,50,4,5,0.64,1,9,726.819,0.13,258.233,71.2954,1,3.52,0,151.9788,7.146938689,6.818216922,1,0,83.55,1,81.43
184.283,7,1,1,1.69,19,263.54,23.55,0.010889207,0,2,0.91,591.71,1,9,39.9,14,29,0.9,1,9,1613.469,2.31,587.718,195.8614,1,11.23,5,5498.3113,6.70805109,5.259770677,4,3,140.73,5,193.5
148.202,4,1,1,2.6,16,241.76,27.69,0.010889207,0,3,0.85,487.56,1,5,25,6,23,0.15,1,7,1061.15,1.86,413.518,315.6246,1,5.49,1,1527.7287,6.500829107,5.815953763,3,7,98.74,5,96.89
192.255,5,1,1,2.19,15,248.97,36.92,0.010889207,0,4,0.84,434.548,1,1,21.8,5,21,0,1,8,902.909,0,273.248,69.5594,1,2.53,2,114.9465,7.157644473,6.939504159,2,10,109.57,4,91.21
200.285,4,1,1,4.3,13,181.77,24.92,0.010889207,1,2,0.9775,420.368,1,1,51.1,4,8,1.76,1,6,840.945,-0.5,259.265,34.225,1,4.94,1,45.0255,7.465657084,7.346541153,2,0,92.5,2,88.42
141.218,4,1,1,6.27,10,155.39,27.3,0.010889207,2,3,0.76,414.896,1,1,0.1,5,8,-0.98,1,4,750.256,-0.5,259.265,55.3557,1,4.34,2,178.6644,7.256837645,6.747961953,2,1,92.5,2,66.73
144.258,4,1,1,2.74,10,205.08,9.23,0.037318255,0,1,0.74,481.307,1,5,910,6,20,3.5,1,7,854.087,1.86,413.518,34.6504,1,5.85,4,2424.3349,7.460291639,5.615407386,3,7,98.74,6,153.09
266.334,5,1,1,2.19,17,267.43,66.38,0.010889207,1,6,0.87,434.548,1,1,1.1,5,25,-0.83,1,8,976.988,0,273.248,77.8403,1,2.76,2,245.7707,7.10879543,6.609469898,2,15,109.57,4,91.21
57.096,4,1,1,2.3,12,144.55,12.03,0.021218616,1,1,0.98,417.42,1,1,0.3,4,5,-0.07,1,9,698.765,-0.5,259.265,225.5437,1,2.81,0,229.4776,6.646769252,6.639259789,2,0,92.5,1,81.43
278.345,5,1,1,3.35,18,255.05,63.22,0.010889207,0,6,0.82,447.457,1,1,70,5,28,-0.71,1,5,1089.189,0,273.248,75.6407,1,2.78,3,478.2133,7.121244187,6.32037838,2,16,109.57,3,87.38
100.161,7,1,1,2.54,17,251.07,17.07,0.010889207,0,1,0.99,523.659,1,9,53,7,28,1.64,1,7,1542.39,2.31,587.718,66.9183,1,12.83,3,3474.4363,7.174454799,5.459115647,4,4,140.73,5,135.42
215.297,4,1,1,2.55,13,188.5,64.6,0.021218616,3,4,0.78,377.286,1,1,89.9,3,12,-1.02,1,5,854.39,0.13,258.233,120.609,1,3.22,1,891.3033,6.918620458,6.049974482,1,6,83.55,2,50.16
308.375,4,1,1,3.33,16,262.76,101.27,0.010889207,2,7,0.938,532.666,1,1,20,7,27,-1.54,1,6,1024.529,0.13,258.233,258.252,1,4.65,2,68.4761,6.587956348,7.164461185,1,18,83.55,6,102.84
71.123,4,1,1,2.3,12,144.55,12.03,0.0147165,1,1,0.98,417.42,1,1,0.4,4,6,0.36,1,9,712.792,0.13,258.233,84.7921,1,3.03,0,242.0766,7.071644549,6.616047135,1,0,83.55,1,81.43
212.337,7,1,1,1.69,19,263.54,23.55,0.010889207,0,2,0.94,591.71,1,9,54,14,31,1.99,1,9,1641.523,2.31,587.718,226.5925,1,12.31,5,4337.0262,6.644754488,5.362807954,4,5,140.73,5,193.5
155.201,5,1,1,4.22,15,238.78,39.94,0.011118242,0,4,0.88,930.737,1,1,108.9,21,15,0.24,1,8,802.805,0,273.248,10.4851,1,1.71,8,3023.255,7.979428925,5.519525218,2,4,109.57,5,246.48
74.123,4,1,1,3.59,14,217.31,9.23,0.010889207,0,1,0.99,486.944,1,5,3,7,20,0.81,1,8,996.148,1.86,413.518,326.5011,1,5.76,3,1607.1841,6.486115408,5.793934373,3,2,98.74,5,91.41
87.122,4,1,1,3.72,13,208.98,29.1,0.010889207,1,1,0.94,316.353,1,5,610,6,15,1.04,1,5,832.988,1.86,413.518,402.1788,1,4.72,1,1199.9308,6.395580787,5.92084381,3,3,98.74,5,57.15
221.3,7,1,1,3.13,12,207.49,38.33,0.010889207,1,2,0.98,525.66,1,9,1.1,12,19,3.32,1,11,1036.286,2.31,587.718,32.1751,1,9.57,1,2545.5735,7.492480725,5.594214364,4,8,140.73,6,116.94
85.15,4,1,1,2.3,12,144.55,12.03,0.010889207,1,1,0.68,417.42,1,1,50,4,5,0.64,1,9,726.819,0.13,258.233,730.5408,1,3.52,0,151.9788,6.136355537,6.818216922,1,0,83.55,1,81.43
199.254,5,1,1,1.27,15,244.77,49.17,0.011118242,0,5,0.705,835.802,1,1,34,13,23,0.09,1,7,775.82,0,273.248,12.6082,1,1,7,626.4651,7.899348175,6.203103121,2,7,109.57,5,244.33
240.391,7,1,1,1.69,19,263.54,23.55,0.010889207,0,2,0.69,591.71,1,9,354.8,14,33,3.07,1,9,1669.577,2.31,587.718,75.7386,1,13.4,5,3702.6912,7.120682932,5.431482502,4,7,140.73,5,193.5
119.164,4,1,1,2.55,14,202.26,44.48,0.0147165,1,3,0.97,377.286,1,5,316,3,17,-1.01,1,5,958.608,1.86,413.518,695.2555,1,5.11,1,4920.2959,6.157855544,5.308008775,3,5,98.74,4,50.16
86.178,4,1,1,3.74,14,185.77,0,0.010889207,0,0,0.804,409.943,1,5,0.51,6,19,3.47,1,7,995.312,1.86,413.518,124.8244,1,8.54,3,3431.915,6.903700406,5.464463474,3,3,98.74,5,96.01
114.192,4,1,1,6.27,10,164.18,15.27,0.010889207,1,2,0.77,414.896,1,1,0.8,5,10,-0.03,1,4,738.245,-0.88,285.303,126.3569,1,4.36,2,124.2218,6.89840087,6.905802342,2,1,78.51,3,66.73
158.201,4,1,1,-5.06,9,167.11,66.56,0.010889207,2,3,0.967,633.596,1,1,2,17,10,-1.32,1,10,832.836,0.13,258.233,998.7093,1,6.09,10,220.427,6.000560925,6.656735237,1,1,83.55,3,281.4
118.176,8,1,1,4.1,15,217.83,18.46,0.006318381,0,2,0.65,494.429,1,9,300,7,19,0.66,1,3,918.106,1.83,594.738,2459.0403,1,3.22,1,1420.7056,5.609234345,5.847495895,4,5,164.52,5,49.77
100.205,7,1,1,1.67,15,206.08,0,0.010889207,0,0,0.86,440.887,1,9,1.56,4,21,4.01,1,4,1092.429,2.31,587.718,249.4011,1,8.86,3,8061.8377,6.603101719,5.093565947,4,4,140.73,5,107.61
155.245,4,1,1,6.27,10,155.39,27.3,0.010889207,2,3,0.92,414.896,1,1,0.3,5,9,-0.32,1,4,764.283,-0.5,259.265,123.6288,1,4.53,2,351.0589,6.907880236,6.454619982,2,2,92.5,2,66.73
100.165,4,1,1,1.35,12,210.03,15.27,0.010889207,1,2,0.8,418.369,1,5,23,6,16,-0.39,1,8,1010.203,1.86,413.518,586.3755,1,6.39,3,1387.8564,6.231824164,5.85765547,3,0,98.74,5,166.23
160.257,4,1,1,4.5,12,203.73,18.46,0.010889207,0,2,0.71,479.934,1,5,50,4,21,2.08,1,4,1004.142,1.86,413.518,485.199,1,6.85,2,2498.6035,6.314080079,5.602302658,3,8,98.74,3,59.97
229.324,4,1,1,2.55,13,188.5,64.6,0.021218616,3,4,0.94,377.286,1,1,60,3,13,-0.66,1,5,868.417,0.13,258.233,118.9522,1,3.57,1,746.7471,6.924627388,6.126826479,1,7,83.55,2,50.16
71.123,4,1,1,2.3,12,144.55,12.03,0.010889207,1,1,0.97,417.42,1,1,0.3,4,6,0.36,1,9,712.792,0.13,258.233,24.1898,1,3.03,0,242.0766,7.616367547,6.616047135,1,0,83.55,1,81.43
150.221,8,1,1,4.1,14,208.6,9.23,0.010889207,0,1,0.99,494.429,1,9,26,7,17,3.06,1,3,950.151,1.83,594.738,849.47,1,5.44,1,720.8793,6.070851963,6.142137446,4,3,164.52,5,49.77
294.388,5,1,1,3.14,13,199.09,55.38,0.003319283,0,6,0.92,406.389,1,1,81.8,2,26,0.07,1,5,886.975,0,273.248,196.0749,1,2.51,1,286.0356,6.707577904,6.543579836,2,17,109.57,4,80.46
104.149,4,1,1,2.91,17,255.55,18.46,0.010889207,0,2,0.88,445.527,1,5,136,4,20,0.3,1,8,1029.19,1.86,413.518,571.1885,1,4.99,2,3653.2319,6.243220539,5.437322763,3,4,98.74,4,85.86
280.361,4,1,1,3.8,20,271.66,55.38,0.010889207,0,6,0.76,374.322,1,5,4.8,5,34,-0.29,1,5,1329.631,1.86,413.518,519.3578,1,8.07,2,2393.4746,6.284533319,5.620971183,3,16,98.74,5,90.13
206.282,4,1,1,3.59,17,245,36.92,0.010889207,0,4,0.91,486.944,1,5,48.1,7,29,0.37,1,8,1128.307,1.86,413.518,153.7322,1,5.32,3,1836.6273,6.813235285,5.735978953,3,11,98.74,5,91.41
190.239,5,1,1,3.35,16,236.59,44.76,0.010889207,0,4,0.65,447.457,1,1,100,5,22,-0.42,1,5,1001.083,0,273.248,153.6745,1,3.08,3,178.8656,6.813398301,6.747473294,2,10,109.57,3,87.38
